,species,concs,,,,,,,,,,,,
0,E,1.55E-05,0,0.00E+00,,        K_l_2u:   # L -> 2U (M),4.35E-08,10.0,,        K_l_2u,   # L -> 2U (M),,K_l_2u,4.35E-08
1,O,2.84E-08,0,0.00E+00,,        K_l_h:    # L -> H (unitless),2.50E+00,-0.5,,        K_l_h,    # L -> H (unitless),,K_l_h,2.50E+00
2,H,1.74E-09,1,1.74E-09,,        K_l_o:    # L + O -> LO (M-1),1.83E-04,5.1,,        K_l_o,    # L + O -> LO (M-1),,K_l_o,1.83E-04
3,L,6.95E-10,1,6.95E-10,,        K_h_o:    # H + O -> HO (M-1),4.20E+08,-11.8,,        K_h_o,    # H + O -> HO (M-1),,K_h_o,4.20E+08
4,HE,1.51E-09,1,1.51E-09,,        K_l_e:    # L + E -> LE (M-1),7.60E+05,-8.0,,        K_l_e,    # L + E -> LE (M-1),,K_l_e,7.60E+05
5,HE2,1.32E-09,1,1.32E-09,,        K_le_e:   # LE + E -> LE2 (M-1),7.60E+05,-8.0,,        K_le_e,   # LE + E -> LE2 (M-1),,K_le_e,7.60E+05
6,LE,8.21E-09,1,8.21E-09,,        K_h_e:    # H + E -> HE (M-1),5.60E+04,-6.5,,        K_h_e,    # H + E -> HE (M-1),,K_h_e,5.60E+04
7,LE2,9.70E-08,1,9.70E-08,,        K_he_e:   # HE + E -> HE2 (M-1),5.60E+04,-6.5,,        K_he_e,   # HE + E -> HE2 (M-1),,K_he_e,5.60E+04
8,HO,2.08E-08,1,2.08E-08,,        K_lo_e:   # LO + E -> LOE (M-1),7.60E+05,-8.0,,        K_lo_e,   # LO + E -> LOE (M-1),,K_lo_e,7.60E+05
9,LO,1.98E-18,1,1.98E-18,,        K_loe_e:  # LOE + E -> LOE2 (M-1),7.60E+05,-8.0,,        K_loe_e,  # LOE + E -> LOE2 (M-1),,K_loe_e,7.60E+05
10,HOE,1.81E-08,1,1.81E-08,,        K_ho_e:   # HO + E -> HOE (M-1),5.60E+04,-6.5,,        K_ho_e,   # HO + E -> HOE (M-1),,K_ho_e,5.60E+04
11,HOE2,1.57E-08,1,1.57E-08,,        K_hoe_e:  # HOE + E -> HOE2 (M-1),5.60E+04,-6.5,,        K_hoe_e,  # HOE + E -> HOE2 (M-1),,K_hoe_e,5.60E+04
12,LOE,2.34E-17,1,2.34E-17,,,,,,,,,,
13,LOE2,2.76E-16,1,2.76E-16,,,,,,,,,,
,U,5.50E-09,2.00E+00,1.10E-08,,,,,,,,,,
,,,,1.76E-07,1.65E-07,,,,,,,,,